249,DestructibleStoreFrontCityProps,DestructibleDoodad
250,DestructibleBillboardTall,DestructibleDoodad
251,DestructibleBillboardScrollingText,DestructibleDoodad
252,DestructibleSpacePlatformBarrier,DestructibleDoodad
253,DestructibleSignsDirectional,DestructibleDoodad
254,DestructibleSignsConstruction,DestructibleDoodad
255,DestructibleSignsFunny,DestructibleDoodad
256,DestructibleSignsIcons,DestructibleDoodad
257,DestructibleSignsWarning,DestructibleDoodad
258,DestructibleGarage,DestructibleDoodad
259,DestructibleGarageLarge,DestructibleDoodad
260,DestructibleTrafficSignal,DestructibleDoodad
261,TrafficSignal,DestructibleDoodad
262,BraxisAlphaDestructible1x1,BraxisAlphaDestructible1x1
263,BraxisAlphaDestructible2x2,BraxisAlphaDestructible2x2
264,DestructibleDebris4x4,DestructibleDebris4x4
265,DestructibleDebris6x6,DestructibleDebris6x6
266,DestructibleRock2x4Vertical,DestructibleRock2x4Vertical
267,DestructibleRock2x4Horizontal,DestructibleRock2x4Horizontal
268,DestructibleRock2x6Vertical,DestructibleRock2x6Vertical
269,DestructibleRock2x6Horizontal,DestructibleRock2x6Horizontal
270,DestructibleRock4x4,DestructibleRock4x4
272,DestructibleRampDiagonalHugeULBR,DestructibleRampDiagonalHugeULBR
273,DestructibleRampDiagonalHugeBLUR,DestructibleRampDiagonalHugeBLUR
274,MengskStatueAlone,MengskStatue
276,WolfStatue,DestructibleDoodad
